time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-04T04:50:24.860Z,38.8171654,-122.7959976,2.04,0.84,md,13,50,0.0092,0.01,nc,nc73700911,2022-03-04T05:22:15.609Z,"6km NW of The Geysers, CA",earthquake,0.31,0.68,,1,automatic,nc,nc
2022-03-04T04:48:55.160Z,17.9285,-67.1171666666667,10.09,2.58,md,6,287,,0.13,pr,pr71338878,2022-03-04T07:25:20.200Z,"8 km SE of Pole Ojea, Puerto Rico",earthquake,1.39,0.48,0.125702615404469,4,reviewed,pr,pr
2022-03-04T04:48:28.540Z,35.8638333,-117.6778333,4.53,0.94,ml,12,86,0.08101,0.11,ci,ci40199328,2022-03-04T04:51:59.340Z,"22km ESE of Little Lake, CA",earthquake,0.24,0.63,0.131,10,automatic,ci,ci
2022-03-04T04:43:33.150Z,18.011,-66.7451666666667,13.67,2.54,md,8,179,,0.09,pr,pr71338873,2022-03-04T04:55:38.480Z,"2 km ESE of Magas Arriba, Puerto Rico",earthquake,0.52,0.3,0.274160553321902,5,reviewed,pr,pr
2022-03-04T04:37:35.660Z,33.5786667,-116.8031667,4.97,0.64,ml,24,65,0.03589,0.1,ci,ci40199312,2022-03-04T04:41:09.263Z,"12km WNW of Anza, CA",earthquake,0.18,0.36,0.118,17,automatic,ci,ci
2022-03-04T04:30:08.170Z,35.8673333,-117.6665,6.85,0.95,ml,14,95,0.07611,0.19,ci,ci40199304,2022-03-04T04:33:46.826Z,"23km ESE of Little Lake, CA",earthquake,0.47,0.88,0.232,12,automatic,ci,ci
2022-03-04T04:29:28.710Z,38.7871666,-122.7440033,1.45,0.83,md,17,84,0.00691,0.05,nc,nc73700906,2022-03-04T04:38:11.361Z,"2km NE of The Geysers, CA",earthquake,0.27,0.6,0.29,4,automatic,nc,nc
2022-03-04T04:09:44.780Z,38.8223343,-122.8081665,2.69,1.13,md,26,37,0.001828,0.02,nc,nc73700901,2022-03-04T07:08:11.233Z,"7km NW of The Geysers, CA",earthquake,0.21,0.43,0.1,4,automatic,nc,nc
2022-03-04T04:08:36.000Z,38.8219986,-122.7893295,0.68,0.46,md,8,76,0.01103,0.01,nc,nc73700896,2022-03-04T04:16:11.222Z,"6km NNW of The Geysers, CA",earthquake,0.31,0.58,0.39,2,automatic,nc,nc
2022-03-04T04:07:52.039Z,33.6666,81.9193,10,4.6,mb,,109,6.523,0.83,us,us6000h1yw,2022-03-04T04:24:22.040Z,"western Xizang",earthquake,3.4,1.9,0.076,55,reviewed,us,us
2022-03-04T04:03:23.240Z,38.8083344,-122.7406693,1.84,1.04,md,19,121,0.01675,0.03,nc,nc73700891,2022-03-04T04:16:11.361Z,"2km SW of Cobb, CA",earthquake,0.29,0.57,0.14,5,automatic,nc,nc
2022-03-04T03:57:20.030Z,37.9736671,-122.0301666,6.61,2.16,md,28,145,0.05432,0.09,nc,nc73700886,2022-03-04T06:45:54.829Z,"2km WNW of Concord, CA",earthquake,0.28,0.42,0.14,26,automatic,nc,nc
2022-03-04T03:56:59.780Z,38.7869987,-122.7683334,1.88,0.99,md,29,81,0.01518,0.03,nc,nc73700881,2022-03-04T04:30:14.465Z,"2km NW of The Geysers, CA",earthquake,0.21,0.33,0.11,6,automatic,nc,nc
2022-03-04T03:53:46.050Z,36.7231674,-121.4095001,7.12,1.72,md,15,134,0.05081,0.11,nc,nc73700871,2022-03-04T06:28:11.003Z,"11km SSW of Ridgemark, CA",earthquake,0.71,1.34,0.32,12,automatic,nc,nc
2022-03-04T03:52:58.060Z,38.7845001,-122.7271652,1.2,1.15,md,19,82,0.007577,0.04,nc,nc73700866,2022-03-04T06:03:10.839Z,"3km ENE of The Geysers, CA",earthquake,0.23,0.55,0.11,4,automatic,nc,nc
2022-03-04T03:25:17.470Z,17.9558333333333,-66.9933333333333,9.98,1.57,md,5,207,,0.06,pr,pr71338883,2022-03-04T05:13:18.000Z,"6 km ESE of La Parguera, Puerto Rico",earthquake,0.57,0.84,0.110791569852207,5,reviewed,pr,pr
2022-03-04T03:22:53.447Z,38.1519,-118.045,8.7,0.8,ml,8,179.76,0.068,0.0638,nn,nn00834903,2022-03-04T03:26:55.027Z,"27 km SSE of Mina, Nevada",earthquake,,0.7,0.35,3,automatic,nn,nn
2022-03-04T03:18:00.690Z,37.5201683,-118.779335,5.3,2.18,md,19,112,0.08017,0.03,nc,nc73700851,2022-03-04T05:12:10.541Z,"10km WSW of Toms Place, CA",earthquake,0.32,1,0.18,24,automatic,nc,nc
2022-03-04T03:12:28.180Z,19.2086658477783,-155.419174194336,33.4099998474121,2.73,ml,49,144,,0.129999995,hv,hv72936892,2022-03-04T03:24:40.040Z,"6 km E of Pāhala, Hawaii",earthquake,0.48,0.589999974,3.76,29,automatic,hv,hv
2022-03-04T03:09:04.380Z,38.8196678,-122.7969971,2.87,0.48,md,12,61,0.01087,0.01,nc,nc73700846,2022-03-04T03:34:13.992Z,"6km NW of The Geysers, CA",earthquake,0.39,0.91,0.1,2,automatic,nc,nc
2022-03-04T03:00:51.365Z,-27.0801,-175.9215,10,5,mb,,78,2.799,1.07,us,us6000h1ys,2022-03-04T04:02:30.040Z,"Kermadec Islands region",earthquake,11.6,1.9,0.133,18,reviewed,us,us
2022-03-04T02:59:16.906Z,61.8374,-150.8624,61.5,1.3,ml,,,,0.34,ak,ak0222w8eeve,2022-03-04T03:06:51.723Z,"32 km ESE of Skwentna, Alaska",earthquake,,1.3,,,automatic,ak,ak
2022-03-04T02:58:37.505Z,-27.2215,-175.9624,10,5.1,mb,,130,2.667,1.22,us,us6000h1yl,2022-03-04T04:05:36.040Z,"Kermadec Islands region",earthquake,11.2,1.8,0.096,39,reviewed,us,us
2022-03-04T02:45:19.250Z,19.1856670379639,-155.436828613281,32.6599998474121,1.78999996,md,22,161,,0.140000001,hv,hv72936847,2022-03-04T02:48:33.780Z,"4 km ESE of Pāhala, Hawaii",earthquake,1.15,0.970000029,0.769999981,3,automatic,hv,hv
2022-03-04T02:43:10.280Z,17.9348333333333,-66.8175,13.74,2.35,md,8,219,,0.11,pr,pr71338863,2022-03-04T03:24:39.540Z,"6 km S of Indios, Puerto Rico",earthquake,0.76,0.38,0.0548242375051924,5,reviewed,pr,pr
2022-03-04T02:37:57.580Z,38.8326683,-122.8126678,0.05,0.36,md,5,123,0.01878,0.02,nc,nc73700826,2022-03-04T03:03:17.811Z,"8km W of Cobb, CA",earthquake,0.62,6.21,,1,automatic,nc,nc
2022-03-04T02:09:34.330Z,38.7908325,-122.7258301,1.61,0.53,md,13,92,0.02822,0.03,nc,nc73700821,2022-03-04T02:31:17.631Z,"3km ENE of The Geysers, CA",earthquake,0.29,0.8,0.14,3,automatic,nc,nc
2022-03-04T02:07:43.240Z,19.1798324584961,-155.501007080078,34.4799995422363,2.27999997,md,38,84,,0.140000001,hv,hv72936797,2022-03-04T02:10:49.070Z,"3 km SW of Pāhala, Hawaii",earthquake,0.7,0.800000012,1.90999997,22,automatic,hv,hv
2022-03-04T01:49:34.540Z,19.8199996948242,-155.579498291016,22.4200000762939,2.33999991,md,32,100,,0.349999994,hv,hv72936787,2022-03-04T01:55:03.190Z,"24 km SSE of Waimea, Hawaii",earthquake,0.87,2.72000003,1.12,7,automatic,hv,hv
2022-03-04T01:47:58.160Z,19.1660003662109,-155.473007202148,33.1699981689453,2.13000011,md,19,160,,0.140000001,hv,hv72936782,2022-03-04T01:51:16.690Z,"4 km S of Pāhala, Hawaii",earthquake,0.79,0.99000001,1.21000004,3,automatic,hv,hv
2022-03-04T01:37:12.230Z,33.415,-116.428,14.23,1.34,ml,55,57,0.1081,0.2,ci,ci40199248,2022-03-04T01:48:00.200Z,"18km NNW of Borrego Springs, CA",earthquake,0.25,0.42,0.223,26,automatic,ci,ci
2022-03-04T01:36:23.340Z,33.1231667,-116.5453333,13.13,1.16,ml,31,55,0.06075,0.3,ci,ci40199240,2022-03-04T01:39:58.569Z,"7km NE of Julian, CA",earthquake,0.45,0.98,0.111,26,automatic,ci,ci
2022-03-04T01:27:38.360Z,33.3716667,-116.8776667,6.9,0.63,ml,19,76,0.02196,0.3,ci,ci40199232,2022-03-04T01:31:09.025Z,"2km NW of Palomar Observatory, CA",earthquake,0.58,0.87,0.11,16,automatic,ci,ci
