time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-01T16:14:45.704Z,38.2394,-118.3443,9.5,0.1,ml,9.0,238.04,0.127,0.0709,nn,nn00834720,2022-03-02T02:38:16.721Z,"26 km SW of Mina, Nevada",earthquake,,6.1,0.0,1.0,reviewed,nn,nn
2022-03-01T16:11:22.967Z,56.2007,-158.5021,91.8,2.6,ml,,,,0.6,ak,ak0222rhu5yi,2022-03-01T16:32:52.056Z,"12 km SSW of Chignik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-03-01T16:08:52.620Z,17.9358333333333,-66.8191666666667,12.6,2.34,md,10.0,180.0,,0.15,pr,pr71338308,2022-03-01T16:24:29.050Z,"6 km S of Indios, Puerto Rico",earthquake,0.55,0.56,0.163662827741737,10.0,reviewed,pr,pr
2022-03-01T16:06:50.470Z,40.2943333,-124.3678333,29.6,2.54,md,22.0,225.0,0.02019,0.15,nc,nc73699546,2022-03-01T22:30:11.465Z,"8km WSW of Petrolia, CA",earthquake,0.93,0.52,0.221,34.0,reviewed,nc,nc
2022-03-01T16:03:40.330Z,40.277,-124.3668333,27.34,2.43,md,19.0,229.0,0.02178,0.08,nc,nc73699541,2022-03-01T22:15:10.376Z,"9km SW of Petrolia, CA",earthquake,0.56,0.32,0.321,29.0,reviewed,nc,nc
2022-03-01T16:02:14.224Z,62.5857,-151.933,106.9,1.7,ml,,,,0.45,ak,ak0222rhs7ud,2022-03-01T16:12:58.989Z,"60 km W of Petersville, Alaska",earthquake,,1.0,,,automatic,ak,ak
2022-03-01T15:56:21.716Z,62.3732,-151.484,76.5,1.7,ml,,,,0.65,ak,ak0222rhidgz,2022-03-01T16:09:38.289Z,"39 km WSW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-01T15:56:18.920Z,37.52,-118.8188333,4.73,1.09,md,18.0,134.0,0.07038,0.05,nc,nc73699531,2022-03-01T17:09:19.579Z,"13km WSW of Toms Place, CA",earthquake,0.33,0.69,0.104,13.0,reviewed,nc,nc
2022-03-01T15:53:32.360Z,60.8481,-152.4361,116.2,1.5,ml,,,,0.78,ak,ak0222rhhr3v,2022-03-01T15:56:46.107Z,"64 km WNW of Nikiski, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-03-01T15:43:45.950Z,39.4198333,-110.31,-1.95,2.1,md,8.0,196.0,0.01245,0.13,uu,uu60483682,2022-03-01T16:55:17.870Z,"16 km SSE of Sunnyside, Utah",earthquake,1.12,1.07,0.117,7.0,reviewed,uu,uu
